tipo,i,j,t,ativo,valor,F_max,b,R,c_loss,eta_ch,eta_dis,P_ch_max,P_dis_max,E_min,E_max,E0,c_ch,c_dis
BARRA,1,,,,,,,,,,,,,,,,,
BARRA,2,,,,,,,,,,,,,,,,,
BARRA,3,,,,,,,,,,,,,,,,,
ATIVO,1,,,solar,,,,,,,,,,,,,,
ATIVO,2,,,eolica,,,,,,,,,,,,,,
ATIVO,3,,,bateria,,,,,,,,,,,,,,
LINHA,1,2,,,,10,1.0,0.01,1.0,,,,,,,,,
LINHA,2,3,,,,10,1.0,0.01,1.0,,,,,,,,,
CUSTO_CURT,1,,, ,100,,,,,,,,,,,,,
CUSTO_CURT,2,,, ,100,,,,,,,,,,,,,
CUSTO_CURT,3,,, ,100,,,,,,,,,,,,,
BATERIA,3,,,,,,,,,0.95,0.95,3,3,0,10,5,5,5
DEMANDA,2,,1,,5,,,,,,,,,,,,,
DEMANDA,2,,2,,6,,,,,,,,,,,,,
DEMANDA,2,,3,,4,,,,,,,,,,,,,
DEMANDA,2,,4,,5,,,,,,,,,,,,,
DEMANDA,2,,5,,6,,,,,,,,,,,,,
DEMANDA,2,,6,,4,,,,,,,,,,,,,
DEMANDA,2,,7,,5,,,,,,,,,,,,,
DEMANDA,2,,8,,6,,,,,,,,,,,,,
DEMANDA,2,,9,,4,,,,,,,,,,,,,
DEMANDA,2,,10,,5,,,,,,,,,,,,,
DEMANDA,2,,11,,6,,,,,,,,,,,,,
DEMANDA,2,,12,,4,,,,,,,,,,,,,
DEMANDA,2,,13,,5,,,,,,,,,,,,,
DEMANDA,2,,14,,6,,,,,,,,,,,,,
DEMANDA,2,,15,,4,,,,,,,,,,,,,
DEMANDA,2,,16,,5,,,,,,,,,,,,,
DEMANDA,2,,17,,6,,,,,,,,,,,,,
DEMANDA,2,,18,,4,,,,,,,,,,,,,
DEMANDA,2,,19,,5,,,,,,,,,,,,,
DEMANDA,2,,20,,6,,,,,,,,,,,,,
DEMANDA,2,,21,,4,,,,,,,,,,,,,
DEMANDA,2,,22,,5,,,,,,,,,,,,,
DEMANDA,2,,23,,6,,,,,,,,,,,,,
DEMANDA,2,,24,,4,,,,,,,,,,,,,
SOLAR,1,,1,,4,,,,,,,,,,,,,
SOLAR,1,,2,,4,,,,,,,,,,,,,
SOLAR,1,,3,,4,,,,,,,,,,,,,
SOLAR,1,,4,,4,,,,,,,,,,,,,
SOLAR,1,,5,,4,,,,,,,,,,,,,
SOLAR,1,,6,,4,,,,,,,,,,,,,
SOLAR,1,,7,,4,,,,,,,,,,,,,
SOLAR,1,,8,,4,,,,,,,,,,,,,
SOLAR,1,,9,,4,,,,,,,,,,,,,
SOLAR,1,,10,,4,,,,,,,,,,,,,
SOLAR,1,,11,,4,,,,,,,,,,,,,
SOLAR,1,,12,,4,,,,,,,,,,,,,
SOLAR,1,,13,,4,,,,,,,,,,,,,
SOLAR,1,,14,,4,,,,,,,,,,,,,
SOLAR,1,,15,,4,,,,,,,,,,,,,
SOLAR,1,,16,,4,,,,,,,,,,,,,
SOLAR,1,,17,,4,,,,,,,,,,,,,
SOLAR,1,,18,,4,,,,,,,,,,,,,
SOLAR,1,,19,,4,,,,,,,,,,,,,
SOLAR,1,,20,,4,,,,,,,,,,,,,
SOLAR,1,,21,,4,,,,,,,,,,,,,
SOLAR,1,,22,,4,,,,,,,,,,,,,
SOLAR,1,,23,,4,,,,,,,,,,,,,
SOLAR,1,,24,,4,,,,,,,,,,,,,
EOLICA,2,,1,,4,,,,,,,,,,,,,
EOLICA,2,,2,,4,,,,,,,,,,,,,
EOLICA,2,,3,,4,,,,,,,,,,,,,
EOLICA,2,,4,,4,,,,,,,,,,,,,
EOLICA,2,,5,,4,,,,,,,,,,,,,
EOLICA,2,,6,,4,,,,,,,,,,,,,
EOLICA,2,,7,,4,,,,,,,,,,,,,
EOLICA,2,,8,,4,,,,,,,,,,,,,
EOLICA,2,,9,,4,,,,,,,,,,,,,
EOLICA,2,,10,,4,,,,,,,,,,,,,
EOLICA,2,,11,,4,,,,,,,,,,,,,
EOLICA,2,,12,,4,,,,,,,,,,,,,
EOLICA,2,,13,,4,,,,,,,,,,,,,
EOLICA,2,,14,,4,,,,,,,,,,,,,
EOLICA,2,,15,,4,,,,,,,,,,,,,
EOLICA,2,,16,,4,,,,,,,,,,,,,
EOLICA,2,,17,,4,,,,,,,,,,,,,
EOLICA,2,,18,,4,,,,,,,,,,,,,
EOLICA,2,,19,,4,,,,,,,,,,,,,
EOLICA,2,,20,,4,,,,,,,,,,,,,
EOLICA,2,,21,,4,,,,,,,,,,,,,
EOLICA,2,,22,,4,,,,,,,,,,,,,
EOLICA,2,,23,,4,,,,,,,,,,,,,
EOLICA,2,,24,,4,,,,,,,,,,,,,
