cenario,curtailment_solar,curtailment_eolica,E,F,E_solar_total,E_eolica_total,E_carga_bat,E_descarga_bat,perdas_totais,theta,custo_total,E_final
0,0.0,2.965750923,13.801164159999999,-54.0882107329,13.3417538,37.992584511,0.180467159,0.0,23.09198987429,291.6095778642,15328.967779051522,0.4214438
1,0.0,2.36913529,12.0,-56.3182888542,9.06831418,41.84544602,0.0,0.0,23.33210082421,290.925162748,12976.35628363152,0.25
2,0.0,0.00771977539,13.801164159999999,-24.11857080239,17.4172538,38.2360687005,0.180467159,0.0,18.773005673482,181.9501845172,2848.995558490299,0.4214438
3,0.0,2.965750923,13.801164159999999,-54.0882107329,13.3417538,37.992584511,0.180467159,0.0,23.09198987429,291.6095778642,15328.967779051522,0.4214438
4,0.0,2.971901183,0.0,-53.5110863939,13.3417538,37.956565211,0.0,0.0,22.94754201939,289.6156937435,15329.736034908536,
5,0.0026478199,3.198320283,12.0,-37.4562035548,13.40366636,40.376452091,0.0,0.0,20.46574258726,220.197522488,5630.635870408989,0.25
6,0.0,2.847194175,12.78885351,-75.6248353293,11.5783299653,31.708116697,1.1214397600000001,0.774599378,31.30625469338,442.28575622748,90139.16351993092,0.5
7,0.0,3.094908158,12.0,-40.12680667145,13.40631418,39.61522796437,0.0,0.0,21.224318883839,229.153017908,21930.576129727564,0.25
8,0.0,0.068412575,14.65619197,-32.3391090087,12.635798236,44.663591517,0.263157895,0.0,17.20963112375,181.4361471469,2858.2528633024967,0.25
9,0.950478778,4.438508577,12.69351929,-62.0245835551,7.72552123,15.1688852546,3.9043677800000003,3.0486919069,15.08425638282,257.0785724278,23920.31674510721,0.5
10,0.0,2.965750923,13.801164159999999,-54.0882107329,13.3417538,37.992584511,0.180467159,0.0,23.09198987429,291.6095778642,15328.967779051522,0.4214438
