cenario,linha,i,j,max_loading,horas_ge_0.8,horas_ge_0.9
0,linha_4-5,4,5,0.5271894874999999,0,0
0,linha_24-25,24,25,0.5202761749999999,0,0
0,linha_5-6,5,6,0.4815353,0,0
0,linha_3-4,3,4,0.4517866125,0,0
0,linha_30-31,30,31,0.4182419124999999,0,0
1,linha_4-5,4,5,0.5271894874999999,0,0
1,linha_24-25,24,25,0.5202761749999999,0,0
1,linha_5-6,5,6,0.4815353,0,0
1,linha_3-4,3,4,0.4517866125,0,0
1,linha_30-31,30,31,0.4182419124999999,0,0
2,linha_4-5,4,5,0.5271894874999999,0,0
2,linha_24-25,24,25,0.5202761749999999,0,0
2,linha_5-6,5,6,0.4815353,0,0
2,linha_6-7,6,7,0.46543611249999994,0,0
2,linha_3-4,3,4,0.4517866125,0,0
3,linha_4-5,4,5,0.5271894874999999,0,0
3,linha_24-25,24,25,0.5202761749999999,0,0
3,linha_5-6,5,6,0.4815353,0,0
3,linha_3-4,3,4,0.4517866125,0,0
3,linha_30-31,30,31,0.4182419124999999,0,0
4,linha_4-5,4,5,0.5271894874999999,0,0
4,linha_24-25,24,25,0.5202761749999999,0,0
4,linha_5-6,5,6,0.4815353,0,0
4,linha_3-4,3,4,0.4517866125,0,0
4,linha_30-31,30,31,0.4182419124999999,0,0
5,linha_4-5,4,5,0.5271894874999999,0,0
5,linha_24-25,24,25,0.5202761749999999,0,0
5,linha_5-6,5,6,0.4815353,0,0
5,linha_6-7,6,7,0.46543611249999994,0,0
5,linha_3-4,3,4,0.4517866125,0,0
6,linha_4-5,4,5,0.5288039124999999,0,0
6,linha_24-25,24,25,0.5202761749999999,0,0
6,linha_8-9,8,9,0.5108151875,0,0
6,linha_7-8,7,8,0.5039868875,0,0
6,linha_3-4,3,4,0.5,0,0
7,linha_4-5,4,5,0.5271894874999999,0,0
7,linha_24-25,24,25,0.5202761749999999,0,0
7,linha_5-6,5,6,0.4815353,0,0
7,linha_6-7,6,7,0.46543611249999994,0,0
7,linha_3-4,3,4,0.4517866125,0,0
8,linha_15-16,15,16,0.5597877125,0,0
8,linha_14-15,14,15,0.5,0,0
8,linha_17-18,17,18,0.47712804999999997,0,0
8,linha_2-3,2,3,0.4538331375,0,0
8,linha_5-6,5,6,0.44284219999999996,0,0
9,linha_6-26,6,26,0.7382741625,0,0
9,linha_26-27,26,27,0.704922375,0,0
9,linha_27-28,27,28,0.572020525,0,0
9,linha_28-29,28,29,0.4325187,0,0
9,linha_4-5,4,5,0.41670375,0,0
10,linha_4-5,4,5,0.5271894874999999,0,0
10,linha_24-25,24,25,0.5202761749999999,0,0
10,linha_5-6,5,6,0.4815353,0,0
10,linha_3-4,3,4,0.4517866125,0,0
10,linha_30-31,30,31,0.4182419124999999,0,0
