cenario,Dem_total,Dem_pico,Cap_solar,Cap_eolica,Fmax_media,Fmax_min,Fmax_max
0,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
1,74.245861,3.715,0.6,1.0350000000000001,0.8,0.8,0.8
2,74.245861,3.715,1.2,0.5175000000000001,0.8,0.8,0.8
3,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
4,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
5,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
6,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
7,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
8,74.245863,3.714999,1.2,1.0350000000000001,0.8,0.8,0.8
9,37.122986999999995,1.8575039999999998,1.2,1.0350000000000001,0.8,0.8,0.8
10,74.245861,3.715,1.2,1.0350000000000001,0.8,0.8,0.8
