cenario,bateria,E_carga_total,E_descarga_total,horas_carga,horas_descarga,SoC_min,SoC_max
0,bateria_25,0.0,0.0,0,0,0.25,0.25
0,bateria_6,0.180467159,0.0,2,0,0.25,0.4214438
1,bateria_25,0.0,0.0,0,0,0.25,0.25
1,bateria_6,0.0,0.0,0,0,0.25,0.25
2,bateria_25,0.0,0.0,0,0,0.25,0.25
2,bateria_6,0.180467159,0.0,2,0,0.25,0.4214438
3,bateria_25,0.0,0.0,0,0,0.25,0.25
3,bateria_6,0.180467159,0.0,2,0,0.25,0.4214438
5,bateria_25,0.0,0.0,0,0,0.25,0.25
5,bateria_6,0.0,0.0,0,0,0.25,0.25
6,bateria_25,0.0,0.0,0,0,0.25,0.25
6,bateria_6,1.12143976,0.774599378,6,7,0.1,0.5
7,bateria_25,0.0,0.0,0,0,0.25,0.25
7,bateria_6,0.0,0.0,0,0,0.25,0.25
8,bateria_25,0.263157895,0.0,4,0,0.25,0.5
8,bateria_6,0.0,0.0,0,0,0.25,0.25
9,bateria_25,1.77044163,1.3603235699999998,9,9,0.1,0.5
9,bateria_6,2.13392615,1.6883683369,11,14,0.1,0.5
10,bateria_25,0.0,0.0,0,0,0.25,0.25
10,bateria_6,0.180467159,0.0,2,0,0.25,0.4214438
